id_empresa;codigo_provincia_2015;provincia_2015;codigo_provincia_2014;provincia_2014;codigo_provincia_2013;provincia_2013;codigo_provincia_2012;provincia_2012;codigo_canton_2015;canton_2015;codigo_canton_2014;canton_2014;codigo_canton_2013;canton_2013;codigo_canton_2012;canton_2012;empleados2015;empleados2014;empleados2013;empleados2012;emp_hombres_2015;emp_hombres_2014;emp_hombres_2013;emp_hombres_2012;emp_mujeres_2015;emp_mujeres_2014;emp_mujeres_2013;emp_mujeres_2012;ventas_totales2015;ventas_totales2014;ventas_totales2013;ventas_totales2012;id_nuevo
13705116096;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;245;233;219;222;152;146;144;148;93;87;75;74;93840984;97797435;79844592;74932334;13705116096
13705118099;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;243;253;257;253;199;207;213;213;44;46;44;40;17766552;19776331;18293395;16872732;13705118099
13705119095;17;Pichincha      ;17;Pichincha      ;17;Pichincha      ;9;Guayas         ;1701;Quito         ;1701;Quito         ;1701;Quito         ;901;Guayaquil     ;392;367;358;368;271;259;252;248;121;108;106;120;55724339;48077964;46817680;45140862;13705119095
13705121090;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;1121;1077;1059;1120;963;923;910;956;158;154;149;164;286487939;278038916;227096300;190578032;13705121090
13705122096;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;74;72;76;74;26;25;27;24;48;47;49;50;2541734;2434850;2172487;1917466;13705122096
13705123092;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;734;744;593;499;574;575;423;323;160;169;170;176;47175013;45856235;38805002;32948998;13705123092
13705124099;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;1282;1044;815;740;1096;901;670;563;186;143;145;177;74517364;66012354;65644209;74711806;13705124099
13705125095;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;5998;6012;5536;5740;4148;4076;3885;3966;1850;1936;1651;1774;355563015;405732756;334756008;351266856;13705125095
13705129091;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;75;80;74;67;64;69;63;56;11;11;11;11;6366405;8098192;4673039;5278138;13705129091
13705130099;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;99;104;108;108;88;92;96;97;11;12;12;11;4366978;4567719;4489933;4083269;13705130099
13705131095;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;391;403;412;393;307;319;323;315;84;84;89;78;100267372;105520026;103233461;97144468;13705131095
